800.00, 92.41
799.50, 92.40
799.00, 92.41
798.50, 92.40
798.00, 92.41
797.50, 92.42
797.00, 92.42
796.50, 92.43
796.00, 92.40
795.50, 92.41
795.00, 92.43
794.50, 92.42
794.00, 92.43
793.50, 92.43
793.00, 92.40
792.50, 92.43
792.00, 92.44
791.50, 92.45
791.00, 92.47
790.50, 92.45
790.00, 92.46
789.50, 92.47
789.00, 92.44
788.50, 92.45
788.00, 92.46
787.50, 92.45
787.00, 92.47
786.50, 92.47
786.00, 92.45
785.50, 92.47
785.00, 92.48
784.50, 92.50
784.00, 92.51
783.50, 92.49
783.00, 92.51
782.50, 92.52
782.00, 92.50
781.50, 92.51
781.00, 92.51
780.50, 92.49
780.00, 92.53
779.50, 92.52
779.00, 92.53
778.50, 92.56
778.00, 92.53
777.50, 92.54
777.00, 92.54
776.50, 92.52
776.00, 92.54
775.50, 92.55
775.00, 92.54
774.50, 92.57
774.00, 92.54
773.50, 92.53
773.00, 92.52
772.50, 92.49
772.00, 92.52
771.50, 92.52
771.00, 92.51
770.50, 92.52
770.00, 92.50
769.50, 92.49
769.00, 92.50
768.50, 92.48
768.00, 92.48
767.50, 92.50
767.00, 92.48
766.50, 92.50
766.00, 92.50
765.50, 92.49
765.00, 92.49
764.50, 92.49
764.00, 92.50
763.50, 92.49
763.00, 92.49
762.50, 92.46
762.00, 92.43
761.50, 92.43
761.00, 92.41
760.50, 92.42
760.00, 92.42
759.50, 92.40
759.00, 92.42
758.50, 92.41
758.00, 92.40
757.50, 92.40
757.00, 92.38
756.50, 92.40
756.00, 92.40
755.50, 92.40
755.00, 92.40
754.50, 92.38
754.00, 92.37
753.50, 92.36
753.00, 92.33
752.50, 92.31
752.00, 92.28
751.50, 92.29
751.00, 92.29
750.50, 92.27
750.00, 92.27
749.50, 92.24
749.00, 92.24
748.50, 92.25
748.00, 92.22
747.50, 92.21
747.00, 92.20
746.50, 92.15
746.00, 92.15
745.50, 92.13
745.00, 92.11
744.50, 92.11
744.00, 92.09
743.50, 92.10
743.00, 92.09
742.50, 92.07
742.00, 92.08
741.50, 92.06
741.00, 92.04
740.50, 92.04
740.00, 92.02
739.50, 92.00
739.00, 92.00
738.50, 91.96
738.00, 91.96
737.50, 91.95
737.00, 91.95
736.50, 91.96
736.00, 91.94
735.50, 91.93
735.00, 91.93
734.50, 91.91
