546.0, 91.60, 
545.0, 91.61, 
544.0, 91.61, 
543.0, 91.58, 
542.0, 91.57, 
541.0, 91.61, 
540.0, 91.54, 
539.0, 91.60, 
538.0, 91.59, 
537.0, 91.62, 
536.0, 91.63, 
535.0, 91.59, 
534.0, 91.56, 
533.0, 91.63, 
532.0, 91.63, 
531.0, 91.57, 
530.0, 91.58, 
529.0, 91.60, 
528.0, 91.54, 
527.0, 91.55, 
526.0, 91.56, 
525.0, 91.57, 
524.0, 91.55, 
523.0, 91.55, 
522.0, 91.51, 
521.0, 91.53, 
520.0, 91.60, 
519.0, 91.53, 
518.0, 91.48, 
517.0, 91.51, 
516.0, 91.52, 
515.0, 91.44, 
514.0, 91.51, 
513.0, 91.52, 
512.0, 91.53, 
511.0, 91.47, 
510.0, 91.46, 
509.0, 91.44, 
508.0, 91.47, 
507.0, 91.40, 
506.0, 91.43, 
505.0, 91.48, 
504.0, 91.44, 
503.0, 91.40, 
502.0, 91.38, 
501.0, 91.44, 
500.0, 91.40, 
499.0, 91.39, 
498.0, 91.46, 
497.0, 91.39, 
496.0, 91.41, 
495.0, 91.45, 
494.0, 91.42, 
493.0, 91.38, 
492.0, 91.39, 
491.0, 91.44, 
490.0, 91.40, 
489.0, 91.38, 
488.0, 91.43, 
487.0, 91.36, 
486.0, 91.41, 
485.0, 91.39, 
484.0, 91.37, 
483.0, 91.43, 
482.0, 91.42, 
481.0, 91.47, 
480.0, 91.40, 
479.0, 91.37, 
478.0, 91.35, 
477.0, 91.31, 
476.0, 91.33, 
475.0, 91.31, 
474.0, 91.26, 
473.0, 91.29, 
472.0, 91.29, 
471.0, 91.26, 
470.0, 91.26, 
469.0, 91.25, 
468.0, 91.23, 
467.0, 91.21, 
466.0, 91.17, 
465.0, 91.22, 
464.0, 91.17, 
463.0, 91.15, 
462.0, 91.18, 
461.0, 91.16, 
460.0, 91.12, 
459.0, 91.10, 
458.0, 91.11, 
457.0, 91.10, 
456.0, 91.08, 
